Elapsed Time (s),Speed (kph)
211,42.9
212,43.4
213,44.4
214,45.5
215,45.5
216,43.7
217,42.7
218,40.9
219,38.4
220,34.8
221,34
222,35.8
223,39.7
224,45.1
225,48.7
226,50
227,50
228,49.7
229,48.3
230,47.2
231,47
232,47.1
233,46.8
234,45.8
235,44.2
236,42.4
237,40.7
238,38.9
239,37
240,35.2
241,33.3
242,32.8
243,31.9
244,29.9
245,27.5
246,26
247,25.4
248,23.1
249,21.2
250,19.5
251,17.8
252,15.2
253,11.5
254,7.2
255,2.5
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0.5
268,2.9
269,8.2
270,13.2
271,17.8
272,21.4
273,24.1
274,26.4
275,28.4
276,29.9
277,30.4
278,30.5
279,30.3
280,30.2
281,30.1
282,30.1
283,30.1
284,30.1
285,30.1
286,30.1
287,30.2
288,30.4
289,31
290,31.8
291,32.7
292,33.6
293,34.4
294,35
295,35.4
296,35.5
297,35.3
298,34.9
299,33.9
300,32.4
301,30.6
302,28.9
303,27.8
304,27.2
305,26.9
306,26.5
307,26.1
308,25.7
309,25.5
310,25.7
311,26.4
312,27.3
313,28.1
314,27.9
315,26
316,22.7
317,19
318,16
319,14.6
320,15.2
321,16.9
322,19.3
323,22
324,24.6
325,26.8
326,27.9
327,28.1
328,27.7
329,27.2
330,26.7
331,26.6
332,26.8
333,27
334,27.2
335,27.4
336,27.5
337,27.7
338,27.9
339,28.1
340,28.3
341,28.6
342,29
343,29.5
344,30.1
345,30.5
346,30.7
347,30.8
348,30.8
349,30.8
350,30.8
351,30.8
352,30.8
353,30.8
354,30.9
355,30.9
356,30.9
357,30.8
358,30.4
359,29.6
360,28.4
361,27.1
362,26
363,25.4
364,25.5
365,26.3
366,27.3
367,28.4
368,29.2
369,29.5
370,29.4
371,28.9
372,28.1
373,27.2
374,26.3
375,25.7
376,25.5
377,25.6
378,26
379,26.4
380,27
381,27.7
382,28.5
383,29.4
384,30.2
385,30.5
386,30.3
387,29.5
388,28.7
389,27.9
390,27.5
391,27.3
392,27
393,26.5
394,25.8
395,25
396,21.5
397,16
398,10
399,5
400,2.2
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,1.2
409,3.2
410,5.9
411,8.8
412,12
413,15.4
414,18.9
415,22.1
416,24.7
417,26.8
418,28.7
419,30.6
420,32.4
421,34
422,35.4
423,36.5
424,37.5
425,38.6
426,39.7
427,40.7
428,41.5
429,41.7
430,41.5
431,41
432,40.6
433,40.3
434,40.1
435,40.1
436,39.8
437,38.9
438,37.5
439,35.8
440,34.2
441,32.5
442,30.9
443,29.4
444,28
445,26.5
446,25
447,23.4
448,21.9
449,20.4
450,19.4
451,18.8
452,18.4
453,18
454,17.5
455,16.9
456,16.4
457,16.6
458,17.7
459,19.3
460,20.9
461,22.3
462,23.2
463,23.2
464,22.2
465,20.3
466,17.9
467,15.2
468,12.3
469,9.3
470,6.4
471,3.8
472,1.9
473,0.9
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,1.4
487,4.5
488,8.8
489,13.4
490,17.3
491,19.2
492,19.7
493,19.8
494,20.7
495,23.6
496,28.1
497,32.8
498,36.3
499,37.1
500,35.1
501,31.1
502,28
503,27.5
504,29.5
505,34
506,37
507,38
508,36.1
509,31.5
510,24.5
511,17.5
512,10.5
513,4.5
514,1
515,0
516,0
517,0
518,0
519,2.9
520,8
521,16
522,24
523,32
524,38.8
525,43.1
526,46
527,47.5
528,47.5
529,44.8
530,40.1
531,33.8
532,27.2
533,20
534,12.8
535,7
536,2.2
537,0
538,0
539,0
540,0
541,0
542,2.7
543,8
544,16
545,24
546,32
547,37.2
548,40.4
549,43
550,44.6
551,45.2
552,45.3
553,45.4
554,45.5
555,45.6
556,45.7
557,45.8
558,45.9
559,46
560,46.1
561,46.2
562,46.3
563,46.4
564,46.7
565,47.2
566,48
567,48.9
568,49.8
569,50
570,50
571,50
572,50
573,50
574,49
575,46.7
576,44
577,41.1
578,38.3
579,35.4
580,31.8
581,27.3
582,22.4
583,17.7
584,13.4
585,9.3
586,5.5
587,2
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
