Elapsed Time (s),Speed (kph)
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2.3
10,7.3
11,15.2
12,23.9
13,32.5
14,39.2
15,44.1
16,48.1
17,51.2
18,53.3
19,54.5
20,55.7
21,56.8
22,57.5
23,58
24,58.4
25,58.5
26,58.5
27,58.6
28,58.9
29,59.3
30,59.8
31,60.2
32,60.5
33,60.8
34,61.1
35,61.5
36,62
37,62.5
38,63
39,63.4
40,63.7
41,63.8
42,63.9
43,63.8
44,63.2
45,61.7
46,58.9
47,55.2
48,51
49,46.7
50,42.8
51,40.2
52,38.8
53,37.9
54,36.7
55,35.1
56,32.9
57,30.4
58,28
59,25.9
60,24.4
61,23.7
62,23.8
63,25
64,27.3
65,30.4
66,33.9
67,37.3
68,39.8
69,39.5
70,36.3
71,31.4
72,26.5
73,24.2
74,24.8
75,26.6
76,27.5
77,26.8
78,25.3
79,24
80,23.3
81,23.7
82,24.9
83,26.4
84,27.7
85,28.3
86,28.3
87,28.1
88,28.1
89,28.6
90,29.8
91,31.6
92,33.9
93,36.5
94,39.1
95,41.5
96,43.3
97,44.5
98,45.1
99,45.1
100,43.9
101,41.4
102,38.4
103,35.5
104,32.9
105,31.3
106,30.7
107,31
108,32.2
109,34
110,36
111,37.9
112,39.8
113,41.6
114,43.1
115,44.3
116,45
117,45.5
118,45.8
119,46
120,46.1
121,46.2
122,46.1
123,45.7
124,45
125,44.3
126,44.7
127,46.8
128,50.1
129,53.6
130,56.9
131,59.4
132,60.2
133,59.3
134,57.5
135,55.4
136,52.5
137,47.9
138,41.4
139,34.4
140,30
141,27
142,26.5
143,28.7
144,33.8
145,40.3
146,46.6
147,50.4
148,53.9
149,56.9
150,59.1
151,60.6
152,61.7
153,62.6
154,63.1
155,62.9
156,61.6
157,59.4
158,56.6
159,53.7
160,50.7
161,47.7
162,45
163,43
164,41.9
165,41.6
166,41.3
167,40.9
168,41.8
169,42.1
170,41.8
171,41.3
172,41.5
173,43.5
174,46.5
175,49.7
176,52.6
177,55
178,56.5
179,57.1
180,57.3
181,57
182,56.3
183,55.2
184,53.9
185,52.6
186,51.3
187,50.1
188,51.5
189,53.1
190,54.8
191,56.6
192,58.5
193,60.6
